config_id,replicate_id,E,C,S,delta,seasons,max_years_between_conf_finals,franchises_never_reached_cf,manipulation_gain_pct,manipulation_gain_bound,manipulation_gain_regime,per_series_cost_typical,per_series_cost_playin,rank_one_to_five_spread,expected_pick_worst,expected_pick_fifth_worst
17,1007,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.666666666666667,4.3,6.966666666666667
17,1008,22,null,unbounded,1000,30,29,0,18.181818181818183,1.1818181818181819,uncapped,,,2.8666666666666663,4.733333333333333,7.6
17,1009,22,null,unbounded,1000,30,28,0,18.181818181818183,1.1818181818181819,uncapped,,,3.1999999999999993,5.033333333333333,8.233333333333333
17,1010,22,null,unbounded,1000,30,23,0,18.181818181818183,1.1818181818181819,uncapped,,,2.0999999999999996,4.5,6.6
17,1011,22,null,unbounded,1000,30,27,0,18.181818181818183,1.1818181818181819,uncapped,,,3.033333333333333,4.733333333333333,7.766666666666667
17,1012,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,3,4.5,7.5
17,1013,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.333333333333333,4.733333333333333,7.066666666666666
17,1014,22,null,unbounded,1000,30,24,0,18.181818181818183,1.1818181818181819,uncapped,,,1.8666666666666663,4.666666666666667,6.533333333333333
17,1015,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.666666666666667,4.5,7.166666666666667
17,1016,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.4333333333333327,4.666666666666667,7.1
17,1017,22,null,unbounded,1000,30,25,0,18.181818181818183,1.1818181818181819,uncapped,,,2.833333333333333,4.5,7.333333333333333
17,1018,22,null,unbounded,1000,30,24,0,18.181818181818183,1.1818181818181819,uncapped,,,1.9666666666666668,4.3,6.266666666666667
17,1019,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.8999999999999995,4.433333333333334,7.333333333333333
17,1020,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.533333333333333,4.766666666666667,7.3
17,1021,22,null,unbounded,1000,30,29,0,18.181818181818183,1.1818181818181819,uncapped,,,2.9333333333333327,4.433333333333334,7.366666666666666
17,1022,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.0666666666666664,4.466666666666667,6.533333333333333
17,1023,22,null,unbounded,1000,30,22,0,18.181818181818183,1.1818181818181819,uncapped,,,2.2333333333333334,4.733333333333333,6.966666666666667
17,1024,22,null,unbounded,1000,30,24,0,18.181818181818183,1.1818181818181819,uncapped,,,3.5999999999999996,4.5,8.1
17,1025,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.6000000000000005,4.8,7.4
17,1026,22,null,unbounded,1000,30,27,0,18.181818181818183,1.1818181818181819,uncapped,,,2.633333333333333,4.7,7.333333333333333
17,1027,22,null,unbounded,1000,30,24,0,18.181818181818183,1.1818181818181819,uncapped,,,3.2666666666666666,4.4,7.666666666666667
17,1028,22,null,unbounded,1000,30,29,0,18.181818181818183,1.1818181818181819,uncapped,,,2.533333333333333,4.4,6.933333333333334
17,1029,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,3.4000000000000004,4.5,7.9
19,1000,22,null,reset-on-championship,1000,30,26,0,18.181818181818183,1.1818181818181819,uncapped,,,2.466666666666667,4.433333333333334,6.9
19,1001,22,null,reset-on-championship,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.966666666666667,4.433333333333334,7.4
19,1002,22,null,reset-on-championship,1000,30,27,0,18.181818181818183,1.1818181818181819,uncapped,,,2.7666666666666666,4.266666666666667,7.033333333333333
19,1003,22,null,reset-on-championship,1000,30,27,0,18.181818181818183,1.1818181818181819,uncapped,,,2.4000000000000004,4.833333333333333,7.233333333333333
19,1004,22,null,reset-on-championship,1000,30,21,0,18.181818181818183,1.1818181818181819,uncapped,,,2.5999999999999996,4.633333333333334,7.233333333333333
19,1005,22,null,reset-on-championship,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.8666666666666663,4.4,7.266666666666667
19,1006,22,null,reset-on-championship,1000,30,25,0,18.181818181818183,1.1818181818181819,uncapped,,,2.666666666666667,4.766666666666667,7.433333333333334
19,1007,22,null,reset-on-championship,1000,30,30,2,18.181818181818183,1.1818181818181819,uncapped,,,2.8,4.4,7.2
19,1008,22,null,reset-on-championship,1000,30,20,0,18.181818181818183,1.1818181818181819,uncapped,,,3.3999999999999995,4.4,7.8
19,1009,22,null,reset-on-championship,1000,30,28,0,18.181818181818183,1.1818181818181819,uncapped,,,2.4333333333333336,4.6,7.033333333333333
19,1010,22,null,reset-on-championship,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.1333333333333337,4.3,6.433333333333334
19,1011,22,null,reset-on-championship,1000,30,26,0,18.181818181818183,1.1818181818181819,uncapped,,,2.833333333333333,4.5,7.333333333333333
19,1012,22,null,reset-on-championship,1000,30,26,0,18.181818181818183,1.1818181818181819,uncapped,,,2.5,4.5,7
19,1013,22,null,reset-on-championship,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.366666666666667,4.8,7.166666666666667
19,1014,22,null,reset-on-championship,1000,30,30,2,18.181818181818183,1.1818181818181819,uncapped,,,2.8666666666666663,4.466666666666667,7.333333333333333
